"time","bin","user"
4,"High","Jack_5128"
5,"Low","Jack_5128"
1,"Low","Jack_9559"
2,"Low","Jack_9559"
3,"Low","Jack_9559"
4,"Low","Jack_9559"
5,"Low","Jack_9559"
1,"High","Jacob_1907"
2,"High","Jacob_1907"
3,"Med","Jacob_1907"
4,"High","Jacob_1907"
5,"High","Jacob_1907"
1,"Low","Jacob_5538"
2,"Low","Jacob_5538"
3,"Low","Jacob_5538"
4,"Low","Jacob_5538"
5,"Low","Jacob_5538"
1,"High","Jacob_5910"
2,"Low","Jacob_5910"
3,"Low","Jacob_5910"
4,"Low","Jacob_5910"
5,"Low","Jacob_5910"
1,"Low","Jacob_7601"
2,"Low","Jacob_7601"
3,"Low","Jacob_7601"
4,"Low","Jacob_7601"
5,"Low","Jacob_7601"
1,"Low","Jake_5852"
2,"Low","Jake_5852"
3,"Low","Jake_5852"
4,"Low","Jake_5852"
5,"Low","Jake_5852"
1,"Low","Jake_8222"
2,"Low","Jake_8222"
3,"Low","Jake_8222"
4,"Low","Jake_8222"
5,"Low","Jake_8222"
1,"Low","Jamal_3690"
2,"Low","Jamal_3690"
3,"Low","Jamal_3690"
4,"Low","Jamal_3690"
5,"Low","Jamal_3690"
1,"Low","Jamal_4473"
2,"Low","Jamal_4473"
3,"Low","Jamal_4473"
4,"Low","Jamal_4473"
5,"Low","Jamal_4473"
1,"Low","Jamal_5796"
2,"Low","Jamal_5796"
3,"Low","Jamal_5796"
4,"Med","Jamal_5796"
5,"Low","Jamal_5796"
1,"Low","Jamal_8048"
2,"Low","Jamal_8048"
3,"High","Jamal_8048"
4,"Low","Jamal_8048"
5,"Low","Jamal_8048"
1,"High","Jenna_214"
2,"Med","Jenna_214"
3,"High","Jenna_214"
4,"High","Jenna_214"
5,"Low","Jenna_214"
1,"Low","Jenna_3798"
2,"Low","Jenna_3798"
3,"Low","Jenna_3798"
4,"Low","Jenna_3798"
5,"Low","Jenna_3798"
1,"Low","Jenna_4354"
2,"Low","Jenna_4354"
3,"Low","Jenna_4354"
4,"Low","Jenna_4354"
5,"Low","Jenna_4354"
1,"Med","Jenna_5040"
2,"Low","Jenna_5040"
3,"Low","Jenna_5040"
4,"Low","Jenna_5040"
5,"Low","Jenna_5040"
