MTurk_ID,h_day0,h_day1,h_day2,h_day3,h_day4,h_day5,h_delta_10,h_delta_21,h_delta_32,h_delta_43,h_delta_54,delta_one,delta_two,delta_three,delta_four,delta_five,topic,id,role
A2ARIPM4X6WZAK,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2688,Participant
A98E8M4QLI9RS,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2750,Participant
A3GWRDHAURRNK6,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2358,Observer
ARLGZWN6W91WD,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2636,Participant
A3U2VUZ2L7HIWG,3,3,3,1,3,3,0.0,0.0,-2.0,2.0,0.0,2,2,1,0,0,h,2718,Participant
A25ZOL1H79DW0P,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2328,Observer
A1FG2G9TZSDN,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2667,Participant
A28ANDQ58MEMGW,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2577,Participant
A18XVBWB2A270I,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2338,Observer
A3OHYXTHW11HS7,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2575,Participant
A3L5XFNSOY6QET,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2360,Observer
AADRZTXSE7211,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2618,Participant
AZTYIBLLB60V8,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2703,Participant
A15F2JTVAJXITI,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2297,Observer
A10IUXCZBNYUXC,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2658,Participant
A3RVHUY67SVXQV,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2679,Participant
A1Y2G0UNCX95NH,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2604,Participant
A173A97OFDAX9F,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2601,Participant
A27OFCQG73Z4UF,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2321,Observer
A3FJ3XMXO8UAJ0,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2339,Observer
A3PRFA3M7OSCT5,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2622,Participant
AK1PBMID4RD59,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2687,Participant
AWDVZCZQZFE7K,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2313,Observer
AFO9MCOXXSYY7,3,2,2,2,3,3,-1.0,0.0,0.0,1.0,0.0,2,3,3,1,0,h,2352,Observer
A1B9H14AV44C0G,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2701,Participant
A2MPOAEQ25ZJAD,3,3,3,3,2,3,0.0,0.0,0.0,-1.0,1.0,2,1,1,1,0,h,2570,Participant
A33Z6BHAJUGCHY,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2324,Observer
A27KZJJR9201NN,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2603,Participant
A1AIMKA54UBYIQ,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2638,Participant
A1O57XVTTB1PNZ,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2655,Participant
A2OX8TSRCU6NKD,1,2,2,2,2,2,1.0,0.0,0.0,0.0,0.0,1,1,1,1,1,h,2649,Participant
A2AYD8G2NV0RNQ,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2608,Participant
A3C8JI69WPTKWH,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2702,Participant
A35AMS7DP33RQZ,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2308,Observer
A2VGFS03KCCR1Q,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2280,Observer
A25XQ0GFZ57PPU,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2293,Observer
A53S7J4JGWG38,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2610,Participant
ASXFMHGSF0GU6,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2714,Participant
AEOVYZ83Q3GX4,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2301,Observer
A2IYR9HF66R029,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2296,Observer
AJZEXCH1TSUE1,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2654,Participant
APX27OTNP4SYJ,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2704,Participant
A8ZUM922CBH6S,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2665,Participant
A3R92SZR28XVHP,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2663,Participant
A2HJYX70UQW9XR,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2330,Observer
AKSJ3C5O3V9RB,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2709,Participant
A3RB9WPEC9YL2P,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2304,Observer
A1H7XQCN2TQJM7,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2342,Observer
A2WUXZOY4CRF5R,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2275,Observer
AJMWTFJTL8RLM,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2288,Observer
AYTH0E5PUXWX8,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2350,Observer
A3201SGKC2IXYI,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2596,Participant
A2UAHW3Q7S45JP,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,h,2333,Observer
