MTurk_ID,d_day0,d_day1,d_day2,d_day3,d_day4,d_day5,d_delta_10,d_delta_21,d_delta_32,d_delta_43,d_delta_54,delta_one,delta_two,delta_three,delta_four,delta_five,topic,id,role
APX27OTNP4SYJ,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,d,2704,Participant
A8ZUM922CBH6S,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,d,2665,Participant
A3R92SZR28XVHP,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,d,2663,Participant
A2HJYX70UQW9XR,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,d,2330,Observer
AKSJ3C5O3V9RB,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,d,2709,Participant
A3RB9WPEC9YL2P,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,d,2304,Observer
A1H7XQCN2TQJM7,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,d,2342,Observer
A2WUXZOY4CRF5R,4,4,4,3,4,4,0.0,0.0,-1.0,1.0,0.0,2,2,1,0,0,d,2275,Observer
AJMWTFJTL8RLM,2,3,3,3,3,3,1.0,0.0,0.0,0.0,0.0,1,1,1,1,1,d,2288,Observer
AYTH0E5PUXWX8,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,d,2350,Observer
A3201SGKC2IXYI,2,2,2,1,1,1,0.0,0.0,-1.0,0.0,0.0,1,2,3,2,1,d,2596,Participant
A2UAHW3Q7S45JP,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,d,2333,Observer
