MTurk_ID,c_day0,c_day1,c_day2,c_day3,c_day4,c_day5,c_delta_10,c_delta_21,c_delta_32,c_delta_43,c_delta_54,delta_one,delta_two,delta_three,delta_four,delta_five,topic,id,role
APX27OTNP4SYJ,1,2,2,1,1,1,1.0,0.0,-1.0,0.0,0.0,2,3,2,1,0,c,2704,Participant
A8ZUM922CBH6S,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,c,2665,Participant
A3R92SZR28XVHP,2,2,2,1,1,1,0.0,0.0,-1.0,0.0,0.0,1,2,3,2,1,c,2663,Participant
A2HJYX70UQW9XR,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,c,2330,Observer
AKSJ3C5O3V9RB,1,2,2,2,2,2,1.0,0.0,0.0,0.0,0.0,1,1,1,1,1,c,2709,Participant
A3RB9WPEC9YL2P,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,c,2304,Observer
A1H7XQCN2TQJM7,4,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,c,2342,Observer
A2WUXZOY4CRF5R,2,1,1,1,1,1,-1.0,0.0,0.0,0.0,0.0,1,1,1,1,1,c,2275,Observer
AJMWTFJTL8RLM,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,c,2288,Observer
AYTH0E5PUXWX8,2,2,2,2,2,1,0.0,0.0,0.0,0.0,-1.0,1,1,1,1,1,c,2350,Observer
A3201SGKC2IXYI,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,c,2596,Participant
A2UAHW3Q7S45JP,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,c,2333,Observer
