"MTurk_ID","username","id","Role","survey","mentions"
"A3GWRDHAURRNK6","Connor_3067",2358,"observer",2,0
"A3GWRDHAURRNK6","Connor_3067",2358,"observer",3,0
"A3GWRDHAURRNK6","Connor_3067",2358,"observer",4,0
"A1O57XVTTB1PNZ","Connor_8803",2655,"participant",1,0
"A1O57XVTTB1PNZ","Connor_8803",2655,"participant",2,0
"A1O57XVTTB1PNZ","Connor_8803",2655,"participant",3,0
"A1O57XVTTB1PNZ","Connor_8803",2655,"participant",4,0
"A1O57XVTTB1PNZ","Connor_8803",2655,"participant",5,0
"A2A6FH0F7LD9ND","Connor_9123",2427,"sockpuppet",4,0
"A2WYCY1FMQOD5F","Diamond_1228",2580,"participant",1,1
"A2WYCY1FMQOD5F","Diamond_1228",2580,"participant",2,0
"A2WYCY1FMQOD5F","Diamond_1228",2580,"participant",3,0
"A2WYCY1FMQOD5F","Diamond_1228",2580,"participant",4,0
"A2WYCY1FMQOD5F","Diamond_1228",2580,"participant",5,0
"A2VGFS03KCCR1Q","Diamond_1715",2280,"observer",1,0
"A2VGFS03KCCR1Q","Diamond_1715",2280,"observer",2,0
"A2VGFS03KCCR1Q","Diamond_1715",2280,"observer",3,0
"A2VGFS03KCCR1Q","Diamond_1715",2280,"observer",4,0
"A2VGFS03KCCR1Q","Diamond_1715",2280,"observer",5,0
"A34R3XWXXQSGKC","Diamond_2651",2309,"observer",2,0
"A34R3XWXXQSGKC","Diamond_2651",2309,"observer",3,0
"A34R3XWXXQSGKC","Diamond_2651",2309,"observer",4,0
"A34R3XWXXQSGKC","Diamond_2651",2309,"observer",5,0
"A1Y2G0UNCX95NH","Diamond_3595",2604,"participant",1,0
"A1Y2G0UNCX95NH","Diamond_3595",2604,"participant",2,0
"ASXFMHGSF0GU6","Diamond_6743",2714,"participant",1,0
"ASXFMHGSF0GU6","Diamond_6743",2714,"participant",2,0
"ASXFMHGSF0GU6","Diamond_6743",2714,"participant",3,0
"ASXFMHGSF0GU6","Diamond_6743",2714,"participant",4,0
"ASXFMHGSF0GU6","Diamond_6743",2714,"participant",5,0
"A2I9PUZT19ZBO8","Diamond_8289",2326,"observer",1,0
"A2I9PUZT19ZBO8","Diamond_8289",2326,"observer",2,0
"A2I9PUZT19ZBO8","Diamond_8289",2326,"observer",3,0
"A2I9PUZT19ZBO8","Diamond_8289",2326,"observer",4,0
"A1PBRKFHSF1OF8","Dustin_3123",2700,"participant",1,0
"A1FG2G9TZSDN","Dustin_3915",2667,"participant",1,3
"A1FG2G9TZSDN","Dustin_3915",2667,"participant",2,2
"A1FG2G9TZSDN","Dustin_3915",2667,"participant",3,5
"A1FG2G9TZSDN","Dustin_3915",2667,"participant",4,3
"A1FG2G9TZSDN","Dustin_3915",2667,"participant",5,1
"AWDVZCZQZFE7K","Dustin_8843",2313,"observer",1,0
"AWDVZCZQZFE7K","Dustin_8843",2313,"observer",3,0
"AWDVZCZQZFE7K","Dustin_8843",2313,"observer",4,0
"AWDVZCZQZFE7K","Dustin_8843",2313,"observer",5,0
"A3RB9WPEC9YL2P","Emily_1670",2304,"observer",2,0
"A3RB9WPEC9YL2P","Emily_1670",2304,"observer",3,0
"A3RB9WPEC9YL2P","Emily_1670",2304,"observer",5,0
"A2A6FH0F7LD9ND","Emily_3830",2421,"sockpuppet",3,0
"A2A6FH0F7LD9ND","Emily_3830",2421,"sockpuppet",4,0
"A2A6FH0F7LD9ND","Emily_3830",2421,"sockpuppet",5,0
"A3201SGKC2IXYI","Emily_5181",2596,"participant",2,0
"A3201SGKC2IXYI","Emily_5181",2596,"participant",3,0
"A3201SGKC2IXYI","Emily_5181",2596,"participant",4,0
"ARI1EMAHUA9PO","Emma_9672",2530,"sockpuppet",1,0
"A1TMEYQTC4RL9G","Hannah_5834",2722,"participant",1,0
"A1TMEYQTC4RL9G","Hannah_5834",2722,"participant",2,0
"A1TMEYQTC4RL9G","Hannah_5834",2722,"participant",3,0
"A1TMEYQTC4RL9G","Hannah_5834",2722,"participant",4,0
"A1TMEYQTC4RL9G","Hannah_5834",2722,"participant",5,0
"A2A6FH0F7LD9ND","Hannah_6992",2424,"sockpuppet",5,0
"A2AYD8G2NV0RNQ","Hannah_8848",2608,"participant",1,0
"A2AYD8G2NV0RNQ","Hannah_8848",2608,"participant",2,0
"A27KZJJR9201NN","Heather_1039",2603,"participant",1,0
"AK1PBMID4RD59","Heather_253",2687,"participant",1,0
"AK1PBMID4RD59","Heather_253",2687,"participant",2,1
"AK1PBMID4RD59","Heather_253",2687,"participant",3,0
"AK1PBMID4RD59","Heather_253",2687,"participant",4,4
"AK1PBMID4RD59","Heather_253",2687,"participant",5,7
"A25ZOL1H79DW0P","Heather_3855",2328,"observer",1,0
"A25ZOL1H79DW0P","Heather_3855",2328,"observer",2,0
"A25ZOL1H79DW0P","Heather_3855",2328,"observer",3,0
"A25ZOL1H79DW0P","Heather_3855",2328,"observer",4,0
"A25ZOL1H79DW0P","Heather_3855",2328,"observer",5,0
"A33Z6BHAJUGCHY","Heather_6067",2324,"observer",1,0
"A33Z6BHAJUGCHY","Heather_6067",2324,"observer",2,0
"A33Z6BHAJUGCHY","Heather_6067",2324,"observer",3,0
"A33Z6BHAJUGCHY","Heather_6067",2324,"observer",4,0
"A33Z6BHAJUGCHY","Heather_6067",2324,"observer",5,0
"AKSJ3C5O3V9RB","Heather_6355",2709,"participant",1,0
"AKSJ3C5O3V9RB","Heather_6355",2709,"participant",2,0
"AKSJ3C5O3V9RB","Heather_6355",2709,"participant",3,1
"AKSJ3C5O3V9RB","Heather_6355",2709,"participant",4,1
"AKSJ3C5O3V9RB","Heather_6355",2709,"participant",5,0
"AFO9MCOXXSYY7","Heather_8069",2352,"observer",1,0
"AFO9MCOXXSYY7","Heather_8069",2352,"observer",2,0
"AFO9MCOXXSYY7","Heather_8069",2352,"observer",3,0
"AFO9MCOXXSYY7","Heather_8069",2352,"observer",5,0
"AJMWTFJTL8RLM","Holly_1739",2288,"observer",1,0
"AJMWTFJTL8RLM","Holly_1739",2288,"observer",2,0
"AJMWTFJTL8RLM","Holly_1739",2288,"observer",3,0
"AJMWTFJTL8RLM","Holly_1739",2288,"observer",4,0
"AJMWTFJTL8RLM","Holly_1739",2288,"observer",5,0
"A247TCDIBB07JC","Holly_2257",2457,"sockpuppet",1,0
"A247TCDIBB07JC","Holly_2257",2457,"sockpuppet",2,0
"A247TCDIBB07JC","Holly_2257",2457,"sockpuppet",3,0
"A247TCDIBB07JC","Holly_2257",2457,"sockpuppet",4,0
"A247TCDIBB07JC","Holly_2257",2457,"sockpuppet",5,0
"A3PRFA3M7OSCT5","Jack_5128",2622,"participant",1,1
"A3PRFA3M7OSCT5","Jack_5128",2622,"participant",2,1
"A3PRFA3M7OSCT5","Jack_5128",2622,"participant",3,6
"A3PRFA3M7OSCT5","Jack_5128",2622,"participant",4,3
"A3PRFA3M7OSCT5","Jack_5128",2622,"participant",5,0
"A3GTPW3MYSLMR7","Jack_7615",2317,"observer",1,0
"A3GTPW3MYSLMR7","Jack_7615",2317,"observer",2,0
"A3GTPW3MYSLMR7","Jack_7615",2317,"observer",3,0
"A3GTPW3MYSLMR7","Jack_7615",2317,"observer",4,0
"A2MYLV7DGUL42B","Jack_9559",2560,"sockpuppet",3,0
"A2MYLV7DGUL42B","Jack_9559",2560,"sockpuppet",4,0
"A10IUXCZBNYUXC","Jacob_1907",2658,"participant",1,5
"A10IUXCZBNYUXC","Jacob_1907",2658,"participant",2,7
"A10IUXCZBNYUXC","Jacob_1907",2658,"participant",3,1
"A10IUXCZBNYUXC","Jacob_1907",2658,"participant",4,4
"A10IUXCZBNYUXC","Jacob_1907",2658,"participant",5,2
"ARHBT4K14I7U","Jacob_5169",2319,"observer",1,0
"ARI1EMAHUA9PO","Jacob_5538",2529,"sockpuppet",1,0
"AJZEXCH1TSUE1","Jacob_5910",2654,"participant",1,3
"AJZEXCH1TSUE1","Jacob_5910",2654,"participant",2,0
"AJZEXCH1TSUE1","Jacob_5910",2654,"participant",3,0
"AJZEXCH1TSUE1","Jacob_5910",2654,"participant",4,0
"AJZEXCH1TSUE1","Jacob_5910",2654,"participant",5,0
"A2MYLV7DGUL42B","Jacob_7601",2558,"sockpuppet",3,0
"A2MYLV7DGUL42B","Jacob_7601",2558,"sockpuppet",4,0
"A1H7XQCN2TQJM7","Jacob_9608",2342,"observer",2,0
"A1H7XQCN2TQJM7","Jacob_9608",2342,"observer",3,0
"A1H7XQCN2TQJM7","Jacob_9608",2342,"observer",5,0
"A2WUXZOY4CRF5R","Jake_1468",2275,"observer",1,0
"A2WUXZOY4CRF5R","Jake_1468",2275,"observer",2,0
"A2WUXZOY4CRF5R","Jake_1468",2275,"observer",3,0
"A2WUXZOY4CRF5R","Jake_1468",2275,"observer",4,0
"ARR3UJTM2ZGK4","Jake_5852",2734,"participant",2,0
"ARR3UJTM2ZGK4","Jake_5852",2734,"participant",3,0
"ARR3UJTM2ZGK4","Jake_5852",2734,"participant",4,0
