id,num_posts,num_coms,num_likes
2588,16,53,0
2589,0,0,0
2590,0,0,0
2591,0,0,0
2592,0,0,0
2593,7,87,0
2594,5,0,0
2595,0,0,0
2596,22,24,0
2597,6,0,0
2598,0,0,0
2600,1,1,0
2601,5,67,0
2602,0,0,0
2603,9,13,0
2604,8,47,0
2605,0,0,0
2606,4,0,0
2607,0,0,0
2608,3,18,0
2609,0,0,0
2610,49,14,0
2611,9,0,0
2612,0,0,0
2613,0,0,0
2614,0,0,0
2615,5,0,0
2616,0,0,0
2617,0,0,0
2618,11,11,0
2619,0,0,0
2620,9,7,0
2621,0,0,0
2622,60,5,0
2623,4,2,0
2624,0,0,0
2625,0,0,0
2626,0,0,0
2627,11,17,0
2628,2,0,0
2629,0,2,0
2630,0,0,0
2631,0,0,0
2632,0,0,0
2633,0,0,0
2634,0,0,0
2635,0,0,0
2636,3,7,0
2637,1,0,0
2638,9,47,0
2639,0,0,0
2640,0,0,0
2641,0,0,0
2642,0,0,0
2643,0,0,0
2644,0,0,0
2645,0,0,0
2646,0,0,0
2647,0,0,0
2648,0,0,0
2649,26,22,0
2650,0,0,0
2651,0,0,0
2652,0,0,0
2653,0,0,0
2654,14,24,0
2655,11,41,0
2656,0,0,0
2657,4,10,0
2658,25,38,0
2659,0,0,0
2660,0,0,0
2661,0,0,0
2662,0,0,0
2663,17,4,0
2664,0,0,0
2665,4,31,0
2666,0,0,0
2667,51,56,0
2668,0,0,0
2669,0,0,0
2670,0,0,0
2671,0,0,0
2672,0,0,0
2673,0,0,0
2674,0,0,0
2675,0,0,0
2676,0,0,0
2677,0,0,0
2678,0,0,0
2679,15,35,0
2680,0,0,0
2681,0,0,0
2682,0,0,0
2683,0,2,0
2684,0,0,0
2685,0,0,0
2686,0,0,0
2687,34,29,0
2688,14,7,0
2689,0,0,0
2690,0,0,0
2691,21,26,0
2692,0,0,0
2693,0,0,0
2694,0,0,0
2695,0,0,0
2696,0,0,0
2697,0,0,0
2698,0,0,0
2699,0,0,0
2700,3,4,0
2701,31,35,0
2702,6,54,0
2703,15,7,0
2704,26,27,0
2705,0,0,0
2706,0,0,0
2707,0,0,0
2708,0,0,0
2709,14,30,0
2711,24,36,0
2712,0,0,0
2713,0,0,0
2714,11,34,0
2715,0,0,0
2717,0,0,0
2718,27,22,0
2719,1,9,0
2720,0,0,0
2721,0,0,0
2722,6,8,0
2723,4,0,0
2724,0,0,0
2725,0,0,0
2726,0,0,0
2727,0,0,0
2728,0,0,0
2731,0,0,0
2732,0,0,0
2733,0,0,0
2734,4,20,0
2735,0,0,0
2750,6,54,0
