"MTurk_ID","username","id","Role","survey","mentions","per_rank"
"A98E8M4QLI9RS","Carly_7695",2750,"participant",5,1,0.878260869565217
"A3C8JI69WPTKWH","Carly_8867",2702,"participant",1,0,0
"A3C8JI69WPTKWH","Carly_8867",2702,"participant",2,2,0.921739130434783
"A3C8JI69WPTKWH","Carly_8867",2702,"participant",3,4,0.947826086956522
"A3C8JI69WPTKWH","Carly_8867",2702,"participant",4,3,0.921739130434783
"A3C8JI69WPTKWH","Carly_8867",2702,"participant",5,7,0.982608695652174
"A2127GZJV2AID2","Claire_563",2629,"participant",1,0,0
"A2127GZJV2AID2","Claire_563",2629,"participant",2,0,0
"A2127GZJV2AID2","Claire_563",2629,"participant",3,0,0
"A2127GZJV2AID2","Claire_563",2629,"participant",4,0,0
"A2127GZJV2AID2","Claire_563",2629,"participant",5,0,0
"A173A97OFDAX9F","Claire_679",2601,"participant",1,0,0
"A173A97OFDAX9F","Claire_679",2601,"participant",2,1,0.826086956521739
"A173A97OFDAX9F","Claire_679",2601,"participant",3,0,0
"A173A97OFDAX9F","Claire_679",2601,"participant",4,1,0.817391304347826
"A173A97OFDAX9F","Claire_679",2601,"participant",5,1,0.878260869565217
"APX27OTNP4SYJ","Claire_8713",2704,"participant",1,4,0.973913043478261
"APX27OTNP4SYJ","Claire_8713",2704,"participant",2,5,0.982608695652174
"APX27OTNP4SYJ","Claire_8713",2704,"participant",3,1,0.808695652173913
"APX27OTNP4SYJ","Claire_8713",2704,"participant",4,4,0.973913043478261
"APX27OTNP4SYJ","Claire_8713",2704,"participant",5,5,0.973913043478261
"A3191G66DZEGEB","Cody_5364",2711,"participant",1,1,0.834782608695652
"A3191G66DZEGEB","Cody_5364",2711,"participant",2,7,0.991304347826087
"A3191G66DZEGEB","Cody_5364",2711,"participant",3,9,1
"A3191G66DZEGEB","Cody_5364",2711,"participant",4,2,0.88695652173913
"A3191G66DZEGEB","Cody_5364",2711,"participant",5,0,0
"A38RHRTIP0PYNU","Cole_6918",2568,"sockpuppet",1,0,0
"A38RHRTIP0PYNU","Cole_6918",2568,"sockpuppet",2,0,0
"A38RHRTIP0PYNU","Cole_6918",2568,"sockpuppet",3,0,0
"A38RHRTIP0PYNU","Cole_6918",2568,"sockpuppet",4,0,0
"A38RHRTIP0PYNU","Cole_6918",2568,"sockpuppet",5,0,0
"A247TCDIBB07JC","Cole_7125",2455,"sockpuppet",1,0,0
"A247TCDIBB07JC","Cole_7125",2455,"sockpuppet",2,0,0
"A247TCDIBB07JC","Cole_7125",2455,"sockpuppet",3,0,0
"A247TCDIBB07JC","Cole_7125",2455,"sockpuppet",4,0,0
"A247TCDIBB07JC","Cole_7125",2455,"sockpuppet",5,0,0
"A2A6FH0F7LD9ND","Cole_9336",2423,"sockpuppet",1,0,0
"A2A6FH0F7LD9ND","Cole_9336",2423,"sockpuppet",2,0,0
"A2A6FH0F7LD9ND","Cole_9336",2423,"sockpuppet",3,0,0
"A2A6FH0F7LD9ND","Cole_9336",2423,"sockpuppet",4,0,0
"A2A6FH0F7LD9ND","Cole_9336",2423,"sockpuppet",5,0,0
"A35AMS7DP33RQZ","Connor_1653",2308,"observer",1,0,0
"A35AMS7DP33RQZ","Connor_1653",2308,"observer",2,0,0
"A35AMS7DP33RQZ","Connor_1653",2308,"observer",3,0,0
"A35AMS7DP33RQZ","Connor_1653",2308,"observer",4,0,0
"A35AMS7DP33RQZ","Connor_1653",2308,"observer",5,0,0
"A3GWRDHAURRNK6","Connor_3067",2358,"observer",1,0,0
"A3GWRDHAURRNK6","Connor_3067",2358,"observer",2,0,0
"A3GWRDHAURRNK6","Connor_3067",2358,"observer",3,0,0
"A3GWRDHAURRNK6","Connor_3067",2358,"observer",4,0,0
"A3GWRDHAURRNK6","Connor_3067",2358,"observer",5,0,0
"A1O57XVTTB1PNZ","Connor_8803",2655,"participant",1,0,0
"A1O57XVTTB1PNZ","Connor_8803",2655,"participant",2,0,0
"A1O57XVTTB1PNZ","Connor_8803",2655,"participant",3,0,0
"A1O57XVTTB1PNZ","Connor_8803",2655,"participant",4,0,0
"A1O57XVTTB1PNZ","Connor_8803",2655,"participant",5,0,0
"A2A6FH0F7LD9ND","Connor_9123",2427,"sockpuppet",1,0,0
"A2A6FH0F7LD9ND","Connor_9123",2427,"sockpuppet",2,0,0
"A2A6FH0F7LD9ND","Connor_9123",2427,"sockpuppet",3,0,0
"A2A6FH0F7LD9ND","Connor_9123",2427,"sockpuppet",4,0,0
"A2A6FH0F7LD9ND","Connor_9123",2427,"sockpuppet",5,0,0
"A2WYCY1FMQOD5F","Diamond_1228",2580,"participant",1,1,0.834782608695652
"A2WYCY1FMQOD5F","Diamond_1228",2580,"participant",2,0,0
"A2WYCY1FMQOD5F","Diamond_1228",2580,"participant",3,0,0
"A2WYCY1FMQOD5F","Diamond_1228",2580,"participant",4,0,0
"A2WYCY1FMQOD5F","Diamond_1228",2580,"participant",5,0,0
"A2VGFS03KCCR1Q","Diamond_1715",2280,"observer",1,0,0
"A2VGFS03KCCR1Q","Diamond_1715",2280,"observer",2,0,0
"A2VGFS03KCCR1Q","Diamond_1715",2280,"observer",3,0,0
"A2VGFS03KCCR1Q","Diamond_1715",2280,"observer",4,0,0
"A2VGFS03KCCR1Q","Diamond_1715",2280,"observer",5,0,0
"A34R3XWXXQSGKC","Diamond_2651",2309,"observer",1,0,0
"A34R3XWXXQSGKC","Diamond_2651",2309,"observer",2,0,0
"A34R3XWXXQSGKC","Diamond_2651",2309,"observer",3,0,0
"A34R3XWXXQSGKC","Diamond_2651",2309,"observer",4,0,0
"A34R3XWXXQSGKC","Diamond_2651",2309,"observer",5,0,0
"A1Y2G0UNCX95NH","Diamond_3595",2604,"participant",1,0,0
"A1Y2G0UNCX95NH","Diamond_3595",2604,"participant",2,0,0
"A1Y2G0UNCX95NH","Diamond_3595",2604,"participant",3,1,0.808695652173913
"A1Y2G0UNCX95NH","Diamond_3595",2604,"participant",4,0,0
"A1Y2G0UNCX95NH","Diamond_3595",2604,"participant",5,0,0
"ASXFMHGSF0GU6","Diamond_6743",2714,"participant",1,0,0
"ASXFMHGSF0GU6","Diamond_6743",2714,"participant",2,0,0
"ASXFMHGSF0GU6","Diamond_6743",2714,"participant",3,0,0
"ASXFMHGSF0GU6","Diamond_6743",2714,"participant",4,0,0
"ASXFMHGSF0GU6","Diamond_6743",2714,"participant",5,0,0
"A2I9PUZT19ZBO8","Diamond_8289",2326,"observer",1,0,0
"A2I9PUZT19ZBO8","Diamond_8289",2326,"observer",2,0,0
"A2I9PUZT19ZBO8","Diamond_8289",2326,"observer",3,0,0
"A2I9PUZT19ZBO8","Diamond_8289",2326,"observer",4,0,0
"A2I9PUZT19ZBO8","Diamond_8289",2326,"observer",5,0,0
"A1PBRKFHSF1OF8","Dustin_3123",2700,"participant",1,0,0
"A1PBRKFHSF1OF8","Dustin_3123",2700,"participant",2,0,0
