createdAt|updatedAt|FollowerId|FollowingId
2020-09-04 21:10:04.939+00|2020-09-04 21:10:04.939+00|2658|2654
2020-09-04 21:13:19.028+00|2020-09-04 21:13:19.028+00|2542|2654
2020-09-04 21:23:38.143+00|2020-09-04 21:23:38.143+00|2545|2704
2020-09-04 23:30:28.457+00|2020-09-04 23:30:28.457+00|2711|2622
2020-09-05 00:25:32.743+00|2020-09-05 00:25:32.743+00|2711|2610
2020-09-05 00:29:16.184+00|2020-09-05 00:29:16.184+00|2667|2610
2020-09-05 01:30:14.125+00|2020-09-05 01:30:14.125+00|2441|2604
2020-09-05 01:41:29.932+00|2020-09-05 01:41:29.932+00|2667|2604
2020-09-05 01:55:59.517+00|2020-09-05 01:55:59.517+00|2627|2610
2020-09-05 02:12:58.452+00|2020-09-05 02:12:58.452+00|2580|2610
2020-09-05 05:52:22.279+00|2020-09-05 05:52:22.279+00|2593|2575
2020-09-05 11:38:53.976+00|2020-09-05 11:38:53.976+00|2542|2545
2020-09-05 11:40:06.205+00|2020-09-05 11:40:06.205+00|2543|2545
2020-09-05 11:47:27.003+00|2020-09-05 11:47:27.003+00|2701|2545
2020-09-05 11:52:11.814+00|2020-09-05 11:52:11.814+00|2701|2542
2020-09-05 11:58:45.652+00|2020-09-05 11:58:45.652+00|2709|2545
2020-09-05 12:50:25.891+00|2020-09-05 12:50:25.891+00|2540|2541
2020-09-05 15:48:21.425+00|2020-09-05 15:48:21.425+00|2527|2649
2020-09-05 15:51:51.973+00|2020-09-05 15:51:51.973+00|2575|2649
2020-09-05 15:56:37.052+00|2020-09-05 15:56:37.052+00|2543|2649
2020-09-05 16:00:29.589+00|2020-09-05 16:00:29.589+00|2580|2649
2020-09-05 16:36:44.026+00|2020-09-05 16:36:44.026+00|2704|2665
2020-09-05 18:48:01.199+00|2020-09-05 18:48:01.199+00|2711|2588
2020-09-05 22:49:07.558+00|2020-09-05 22:49:07.558+00|2704|2389
2020-09-05 22:50:16.548+00|2020-09-05 22:50:16.548+00|2627|2389
2020-09-05 23:49:30.973+00|2020-09-05 23:49:30.973+00|2593|2610
2020-09-06 03:03:53.324+00|2020-09-06 03:03:53.324+00|2545|2701
2020-09-06 12:50:31.055+00|2020-09-06 12:50:31.055+00|2457|2750
2020-09-06 13:29:38.475+00|2020-09-06 13:29:38.475+00|2622|2387
2020-09-06 13:47:41.829+00|2020-09-06 13:47:41.829+00|2704|2391
2020-09-06 13:59:52.745+00|2020-09-06 13:59:52.745+00|2667|2391
